,cluster,xcrds,ycrds
0,1000,127.191385,37.235027
1,1001,127.295784,37.18883
2,10039,127.110995,37.301494500000004
3,10040,127.203855,37.144468
4,1005,127.258105,37.347407000000004
5,1009,127.1688005,37.242627999999996
6,10114,127.08937499999999,37.334097
7,10129,127.09084250000001,37.323736499999995
8,1013,127.223315,37.135048999999995
9,1014,127.213345,37.315307
10,1017,127.227875,37.3543285
11,10177,127.06511499999999,37.332658
12,102,127.21399,37.219987
13,10201,127.11396049999999,37.274237
14,10205,127.16946,37.155645
15,10206,127.41921500000001,37.1353475
16,1021,127.216167,37.1629775
17,10213,127.071245,37.297526500000004
18,10218,127.37863,37.169115000000005
19,10231,127.09144,37.2658235
20,10239,127.0762175,37.316473
21,10245,127.211398,37.2335015
22,10258,127.122905,37.289366
23,10267,127.14437000000001,37.283348000000004
24,1027,127.143215,37.168865
25,10277,127.098945,37.3393135
26,1028,127.05693,37.333528
27,10283,127.10897,37.31118
28,10289,127.146688,37.269608500000004
29,1029,127.114525,37.2742425
30,1030,127.167527,37.3404275
31,10309,127.19322700000001,37.336439999999996
32,10314,127.07881950000001,37.3047665
33,10332,127.076442,37.3261645
34,10333,127.094865,37.310230000000004
35,1034,127.201045,37.141982999999996
36,10371,127.13310999999999,37.161848
37,1038,127.10310000000001,37.301017
38,10381,127.12129949999999,37.272234
39,10387,127.215835,37.252216000000004
40,1039,127.099125,37.25233
41,10395,127.18689499999999,37.228708
42,10400,127.139955,37.262375
43,10402,127.0765975,37.297995
44,1042,127.16306,37.265375000000006
45,10420,127.097365,37.265394
46,1043,127.160312,37.249592
47,10451,127.22579999999999,37.147452
48,10460,127.077082,37.311972499999996
49,10468,127.216995,37.244335
50,1047,127.150335,37.273902
51,10472,127.082695,37.318749999999994
52,1048,127.14685,37.113665
53,10489,127.2183025,37.271379499999995
54,10495,127.123975,37.301086
55,10499,127.09624,37.3172215
56,1050,127.0797125,37.295752
57,1051,127.376335,37.1948
58,1052,127.19989749999999,37.29026
59,1053,127.288545,37.159748
60,10543,127.236422,37.2497835
61,10548,127.203225,37.23415850000001
62,1056,127.22486,37.327957
63,10562,127.2173005,37.2366715
64,10563,127.388547,37.129461500000005
65,10569,127.07137499999999,37.3243425
66,10572,127.160727,37.283171499999995
67,1059,127.20631,37.165657
68,10590,127.229567,37.275234
69,1060,127.29315249999999,37.226687
70,10606,127.068967,37.351153
71,10623,127.108327,37.272642000000005
72,10625,127.17310499999999,37.159037
73,10640,127.1827625,37.3409195
74,10653,127.179812,37.2376985
75,10654,127.08950999999999,37.309763000000004
76,10656,127.09444500000001,37.337046
77,10664,127.08722499999999,37.315161
78,10667,127.0880375,37.2703185
79,1068,127.1789,37.120518
80,10693,127.15005500000001,37.2739
81,107,127.07312999999999,37.3128585
82,10701,127.110423,37.3037475
83,10703,127.103095,37.248062000000004
84,1071,127.1797975,37.24176
85,10721,127.34398300000001,37.1749325
86,10723,127.0601195,37.318445
87,1073,127.23313250000001,37.3045375
88,1074,127.10574,37.3355035
89,10740,127.100157,37.323770499999995
90,10762,127.30775750000001,37.24429
91,10767,127.2220125,37.259668000000005
92,10779,127.12181749999999,37.2253625
93,10787,127.2304005,37.358163
94,1079,127.195295,37.2427025
95,10812,127.059395,37.345704999999995
96,10816,127.060663,37.322728999999995
97,10829,127.072528,37.2691385
98,1083,127.1555175,37.250478
99,10834,127.253615,37.336805999999996
100,10839,127.15768,37.145925
101,1084,127.12706,37.132984
102,10848,127.21181200000001,37.272487
103,10855,127.1618805,37.27664
104,1088,127.166713,37.139187
105,10882,127.12170499999999,37.303560000000004
106,10898,127.0699075,37.3340275
107,109,127.107163,37.2253125
108,10900,127.21273,37.178968
109,10905,127.222523,37.350483
110,1091,127.13202999999999,37.326576
111,1093,127.21162,37.1749115
112,1094,127.11454,37.325846
113,10953,127.11722,37.2974615
114,10967,127.07710499999999,37.309042000000005
115,10968,127.20309,37.267737
116,10990,127.075857,37.3297715
117,11000,127.226005,37.247509
118,11008,127.160427,37.286100000000005
119,11013,127.23190199999999,37.251580000000004
120,1102,127.28016,37.332577
121,11020,127.23682,37.2989135
122,11021,127.0816195,37.3088325
123,11039,127.083058,37.2524985
124,11045,127.09106,37.233147
125,11072,127.259275,37.246004
126,11076,127.07655,37.3070105
127,11079,127.1044,37.3222045
128,11113,127.12919500000001,37.271355
129,1114,127.124475,37.256691000000004
130,11145,127.21383499999999,37.260324499999996
131,11150,127.15904499999999,37.2818125
132,11152,127.2908775,37.232769
133,11159,127.06242,37.359466499999996
134,11189,127.094,37.314958000000004
135,11191,127.14071,37.2826585
136,11192,127.0722175,37.2747715
137,11195,127.31536,37.24881
138,11205,127.1120605,37.313443500000005
139,1121,127.189425,37.2311925
140,11215,127.074195,37.324127
141,1122,127.09331499999999,37.337042
142,11224,127.2291075,37.246615
143,1123,127.17433,37.3327865
144,11233,127.10834,37.269265000000004
145,11243,127.07996,37.302516
146,11248,127.116567,37.3163885
147,1125,127.25347,37.209934
148,1126,127.3193,37.2528715
149,11260,127.23786,37.323025
150,11263,127.109385,37.28639
151,11283,127.11945499999999,37.302648
152,1129,127.374214,37.11728
153,11291,127.173935,37.1639975
154,11306,127.3090075,37.196967
155,11309,127.19336,37.234135
156,1131,127.16117,37.31021
157,11315,127.2917405,37.2269095
158,11333,127.06740500000001,37.326359
159,11335,127.053798,37.337803
160,11343,127.1100075,37.32876
161,11355,127.170755,37.247593
162,11358,127.10044500000001,37.269236500000005
163,1136,127.17342500000001,37.2809525
164,11382,127.1054955,37.220350999999994
165,11390,127.082193,37.3072575
166,11403,127.18874,37.259811
167,11409,127.07379499999999,37.245031999999995
168,1141,127.108193,37.2440225
169,11422,127.0829375,37.274133500000005
170,11425,127.182378,37.231627
171,1143,127.24181999999999,37.237629
172,1144,127.14251200000001,37.258103500000004
173,11444,127.086433,37.304342500000004
174,11449,127.13282749999999,37.278805000000006
175,1145,127.346504,37.181698
176,11451,127.155975,37.274817
177,11454,127.207495,37.2947885
178,11465,127.08415249999999,37.309742
179,1147,127.09656749999999,37.3097865
180,11479,127.07744500000001,37.2466175
181,11481,127.1902695,37.231195
182,11497,127.11822000000001,37.322702500000005
183,11502,127.137575,37.111155
184,1152,127.11934,37.10051
185,11527,127.15797,37.143672
186,11529,127.21957,37.310817
187,11535,127.108255,37.2318565
188,1154,127.2918,37.203247
189,1155,127.24377,37.328222499999995
190,11573,127.113127,37.324938
191,11574,127.187445,37.231637500000005
192,1159,127.113177,37.260487999999995
193,11595,127.102832,37.244006
194,1160,127.10378499999999,37.278484
195,11607,127.13657,37.2628175
196,11610,127.093075,37.2250425
197,11622,127.1505175,37.295533500000005
198,11626,127.241082,37.289457
199,11627,127.30538949999999,37.177806000000004
200,1163,127.16605,37.098846
201,11633,127.10318000000001,37.286147
202,1164,127.112605,37.3186265
203,1165,127.183538,37.2237415
204,11652,127.089887,37.3453675
205,1166,127.2050275,37.2767535
206,11660,127.079835,37.274576499999995
207,11675,127.14438200000001,37.2797395
208,11679,127.191138,37.226015000000004
209,11699,127.193617,37.23909
210,117,127.1388975,37.248176
211,11707,127.2234,37.3425965
212,1171,127.13521,37.3103625
213,11713,127.09454,37.3190175
214,11719,127.099605,37.3217415
215,1172,127.23689300000001,37.358178499999994
216,11723,127.20153049999999,37.2341535
217,1173,127.4097,37.094326
218,11743,127.205475,37.2348405
219,11744,127.11789999999999,37.274927500000004
220,11762,127.21672050000001,37.242303
221,1177,127.09850499999999,37.317228
222,11779,127.211305,37.258517
223,1178,127.08055200000001,37.2475335
224,11782,127.12099,37.3330765
225,11824,127.112375,37.25305
226,11828,127.231078,37.2461675
227,11833,127.11629500000001,37.25802
228,11834,127.105177,37.335728
229,11835,127.07421199999999,37.271173
230,1184,127.11972499999999,37.24834
231,11841,127.104917,37.277361
232,11843,127.13145,37.330180999999996
233,11860,127.153967,37.280445
234,11864,127.0740825,37.29461
235,1187,127.231384,37.240311
236,11878,127.07079,37.3277225
237,1188,127.17312000000001,37.155657500000004
238,11880,127.19870499999999,37.235723
239,11892,127.114477,37.2821275
240,11897,127.11063,37.262733499999996
241,119,127.221298,37.146765
242,1191,127.38879499999999,37.151548000000005
243,11925,127.100065,37.342245000000005
244,11926,127.1052095,37.329871
245,1195,127.075333,37.272302999999994
246,11954,127.132662,37.254014999999995
247,1196,127.0551425,37.34907
248,11965,127.21464950000001,37.1936215
249,11979,127.2366625,37.34217700000001
250,1199,127.169435,37.226631
251,120,127.240995,37.2328975
252,1200,127.31655,37.222668
253,12000,127.082705,37.316948
254,1201,127.2146075,37.1300735
255,12017,127.20924,37.134790499999994
256,1202,127.09156999999999,37.3458215
257,12055,127.171415,37.160382999999996
258,12072,127.0866695,37.314032
259,1208,127.21160499999999,37.2526575
260,12088,127.15115,37.2802125
261,12099,127.15274,37.3025275
262,1210,127.22972,37.232418
263,12105,127.093155,37.313604
264,12106,127.11480499999999,37.327875000000006
265,12112,127.10745,37.223737
266,12121,127.255015,37.167347
267,12128,127.07824500000001,37.3067915
268,12138,127.21712500000001,37.284895000000006
269,12139,127.0766975,37.230842
270,12149,127.074855,37.308357
271,12154,127.1051225,37.291561
272,1216,127.37271,37.172714
273,12175,127.08973499999999,37.268072000000004
274,12179,127.2491575,37.320347
275,12181,127.083915,37.249798
276,12185,127.166653,37.15406
277,12192,127.13850500000001,37.330205
278,12198,127.1432495,37.2817675
279,12199,127.126923,37.332418000000004
280,12206,127.167215,37.282286
281,1222,127.155855,37.300054
282,12226,127.09568999999999,37.314966
283,12227,127.09225,37.325543499999995
284,12244,127.1306,37.1564335
285,1225,127.129364,37.121723
286,1226,127.06240500000001,37.3134955
287,12273,127.177393,37.34361
288,12275,127.074185,37.3263815
289,1228,127.3177325,37.198332
290,12280,127.20585750000001,37.136137
291,12282,127.11239499999999,37.248317
292,12284,127.084295,37.335207499999996
293,12286,127.070205,37.331551000000005
294,12287,127.196997,37.23955
295,12289,127.22537,37.3444075
296,123,127.062355,37.322508
297,12307,127.097348,37.322181
298,12312,127.08908500000001,37.336127
299,12314,127.097383,37.314745
300,12327,127.165255,37.279579999999996
301,1233,127.1283625,37.269549999999995
302,12338,127.06812500000001,37.3497925
303,12341,127.077887,37.268481
304,12350,127.152863,37.091601
305,12353,127.26301000000001,37.222347
306,12358,127.10150999999999,37.2820855
307,124,127.195475,37.3382475
308,1241,127.197595,37.232566
309,1242,127.2060675,37.226728
310,1243,127.234285,37.29733
311,12435,127.071395,37.270487
312,1244,127.03441,37.370174
313,1245,127.22377,37.241868499999995
314,12450,127.215433,37.285569
315,1246,127.17629299999999,37.1385375
316,12469,127.2793195,37.234548000000004
317,12482,127.1078,37.265655
318,12487,127.2149225,37.26979
319,12498,127.0575755,37.319113
320,125,127.17626,37.212
321,1250,127.0939375,37.326
322,12509,127.097,37.333673000000005
323,12511,127.087005,37.3027675
324,12515,127.089093,37.2313385
