,구,동,구분,단지명,세대수,사용검사일,주소,위도,경도,자동차수,충전기수
225,기흥구,동백동,임대,백현마을 7단지 주공그린빌,561,20060323.0,경기도 용인시 기흥구 동백8로 103 ,37.2717225,127.0736214,617.1,13.0
226,기흥구,동백동,임대,백현마을 9단지 주공그린빌,981,20060517.0,경기도 용인시 기흥구 동백8로131번길 20 ,37.2900639,127.1339697,1079.1000000000001,22.0
227,기흥구,신갈동,임대,녹원마을 새천년그린빌 3단지,693,20060320.0,경기도 용인시 기흥구 새천년로16번길 16 ,37.2665761,127.1351027,762.3000000000001,16.0
228,기흥구,영덕동,임대,흥덕마을 휴먼시아 3단지(임대),866,20090902.0,경기도 용인시 기흥구 흥덕2로 80 ,37.2665761,127.1351027,952.6,20.0
229,기흥구,영덕동,임대,흥덕마을 휴먼시아 4단지(임대),383,20090629.0,경기도 용인시 기흥구 흥덕2로 46 ,37.2754251,127.1427304,421.3,9.0
230,기흥구,중동 ,분양,동백 광명샤인빌,138,20140227.0,경기도 용인시 기흥구 언동로 193-12,37.2577914,127.1416701,151.8,4.0
231,기흥구,상갈동,분양,금화마을 주공그린빌4단지,742,20011012.0,경기도 용인시 기흥구 금화로58번길 10,37.2706091,127.1339634,816.2,17.0
232,기흥구,상갈동,분양,금화마을 주공그린빌 6단지,228,20010907.0,경기도 용인시 기흥구 금화로11번길 9,37.2677011,127.1368455,250.8,6.0
233,기흥구,상갈동,분양,금화마을 주공그린빌3단지,1070,20011008.0,경기도 용인시 기흥구 금화로11번길 10,37.2619359,127.1361457,1177.0,24.0
234,기흥구,상하동,분양,인정프린스아파트,367,19961220.0,경기도 용인시 기흥구 중부대로 820,37.2619359,127.1361457,403.70000000000005,9.0
235,기흥구,상하동,분양,용인 대우아파트,432,19970509.0,경기도 용인시 기흥구 중부대로 735,37.2754251,127.1427304,475.20000000000005,10.0
236,기흥구,상하동,분양,수원동마을 쌍용아파트,1342,20020530.0,경기도 용인시 기흥구 중부대로788번길 20,37.2769627,127.0711334,1476.2,30.0
237,기흥구,상하동,분양,강남마을 한라비발디,890,20040525.0,경기도 용인시 기흥구 강남동로 128,37.2674744,127.1567299,979.0000000000001,20.0
238,기흥구,상하동,분양,수원동마을 쌍용스윗닷홈 2단지(201-207),465,20041123.0,경기도 용인시 기흥구 중부대로788번길 15,37.312003,127.1009117,511.50000000000006,11.0
239,기흥구,상하동,분양,갈천마을 신일유토빌아파트,510,20041208.0,경기도 용인시 기흥구 어정로 62-7,37.2807251,127.1058435,561.0,12.0
240,기흥구,상하동,분양,지석마을 진흥더루벤스(1단지),200,20090313.0,경기도 용인시 기흥구 중부대로746번길 20,37.2219698,127.118273,220.00000000000003,5.0
241,기흥구,상하동,분양,지석마을 그대가 크레던스,554,20110401.0,경기도 용인시 기흥구 어정로 62-28,37.3192694,127.1136331,609.4000000000001,13.0
